%time,field0,field1,field2,field3,field4,field5,,,left x,left y,left z,right x,right y ,right z
1422318506609530000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609550000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609570000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609600000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609620000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506609640000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648590000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506648650000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648680000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648700000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648720000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648750000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648770000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648800000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648830000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506648850000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648870000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648890000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648910000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648930000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648950000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648970000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506648990000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506649020000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649040000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649060000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649080000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649100000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649120000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649140000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649180000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506649240000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649270000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649290000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649310000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649330000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649350000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649370000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649390000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506649410000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649430000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649450000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649470000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649490000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649510000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506649530000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688640000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506688690000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688740000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688780000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688800000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688830000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688850000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688870000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688900000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506688920000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688940000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506688970000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689000000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689030000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689060000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689200000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689220000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506689250000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689270000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689290000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689320000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689350000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689380000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689400000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689420000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506689450000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689470000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689490000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689520000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689540000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689560000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689590000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689610000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506689640000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689660000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689680000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689710000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689730000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689750000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506689780000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728640000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506728700000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728740000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728780000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728810000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728830000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728860000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728880000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728910000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506728930000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728960000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506728980000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729010000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729030000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729050000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729080000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729100000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506729130000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729150000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729190000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729230000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729250000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729280000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729320000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729360000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506729390000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729430000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729450000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729480000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729500000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729530000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729550000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729570000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506729600000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729620000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729650000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729670000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729690000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729720000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506729740000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768540000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
